	samples	labels	predictions	dairy	eel	feces	fresh meat	herring	mackerel	processed meat	salmon	shrimp	spices/herbs/vegetables	trout	experiment
16	L01229	processed meat	processed meat	0.0	0.0	0.0	0.4861059523809521	0.0	0.0	0.5138940476190479	0.0	0.0	0.0	0.0	Source_2
17	L01271	fresh meat	fresh meat	0.0	0.0	0.0	0.6316103174603173	0.0	0.0	0.3683896825396823	0.0	0.0	0.0	0.0	Source_2
18	L01433	mackerel	herring	0.0	0.002	0.0	0.38	0.54	0.0292	0.033	0.0038	0.0	0.012	0.0	Source_2
19	L01461	fresh meat	fresh meat	0.013433333333333335	0.0	0.031	0.9165666666666665	0.0	0.0	0.0	0.0	0.0	0.006	0.033	Source_2
20	L01463	fresh meat	fresh meat	0.0	0.018666666666666668	0.0	0.8776	0.009	0.026	0.0134	0.04	0.0	0.01	0.005333333333333333	Source_2
21	L01601	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
22	L00425	fresh meat	fresh meat	0.0	0.0	0.0	0.9183851093252114	0.0	0.0	0.0816148906747897	0.0	0.0	0.0	0.0	Source_2
23	L00484	fresh meat	fresh meat	0.0	0.0	0.0	0.9183851093252114	0.0	0.0	0.0816148906747897	0.0	0.0	0.0	0.0	Source_2
24	L00664	fresh meat	fresh meat	0.0	0.001	0.0	0.924	0.007	0.0	0.057	0.001	0.0	0.005	0.005	Source_2
25	L00917	fresh meat	fresh meat	0.0	0.0	0.0	0.912	0.002	0.002	0.072	0.002	0.0	0.007	0.003	Source_2
26	L01133	herring	herring	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
27	L01234	salmon	salmon	0.0	0.0	0.0	0.014	0.0	0.0	0.036	0.95	0.0	0.0	0.0	Source_2
28	L01731	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
29	L01777	processed meat	fresh meat	0.0	0.0	0.0	0.6645812710165645	0.0	0.0	0.33541872898343417	0.0	0.0	0.0	0.0	Source_2
30	L00416	feces	fresh meat	0.0	0.0	0.008	0.8510771116762197	0.014	0.0033333333333333335	0.10192288832378045	0.015666666666666666	0.0	0.005	0.001	Source_2
31	L00647	fresh meat	fresh meat	0.0	0.0	0.0	0.8370656746031746	0.002	0.0	0.1609343253968254	0.0	0.0	0.0	0.0	Source_2
32	L00660	salmon	fresh meat	0.0	0.0	0.0005	0.9965	0.0	0.0	0.003	0.0	0.0	0.0	0.0	Source_2
33	L00752	fresh meat	fresh meat	0.0	0.107	0.002	0.8781666666666665	0.001	0.0005	0.0105	0.0005	0.0	0.0003333333333333333	0.0	Source_2
34	L00927	salmon	salmon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Source_2
35	L00933	fresh meat	fresh meat	0.0	0.0	0.0	0.9183851093252114	0.0	0.0	0.0816148906747897	0.0	0.0	0.0	0.0	Source_2
36	L01088	feces	feces	0.0	0.104	0.802	0.03379166666666667	0.0	0.001	0.04620833333333334	0.013	0.0	0.0	0.0	Source_2
37	L01095	salmon	salmon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Source_2
38	L01806	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
39	L00472	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
40	L00781	fresh meat	fresh meat	0.0	0.0	0.004266666666666668	0.977	0.0	0.0	0.003733333333333333	0.015	0.0	0.0	0.0	Source_2
41	L00851	salmon	salmon	0.0	0.0	0.001	0.0068	0.0	0.2394478354978353	0.0057	0.7445521645021635	0.0	0.0025	0.0	Source_2
42	L00949	fresh meat	fresh meat	0.0	0.0	0.0	0.5693580348959609	0.0	0.0	0.4306419651040389	0.0	0.0	0.0	0.0	Source_2
43	L01130	fresh meat	fresh meat	0.0	0.0	0.0	0.5693580348959609	0.0	0.0	0.4306419651040389	0.0	0.0	0.0	0.0	Source_2
44	L01462	fresh meat	fresh meat	0.0	0.0	0.0	0.5693580348959609	0.0	0.0	0.4306419651040389	0.0	0.0	0.0	0.0	Source_2
45	L01732	fresh meat	fresh meat	0.0	0.0	0.0	0.999	0.0	0.0	0.001	0.0	0.0	0.0	0.0	Source_2
46	L00683	processed meat	fresh meat	0.0	0.0	0.0	0.5703035935040197	0.0	0.0	0.42869640649598034	0.0	0.0	0.001	0.0	Source_2
47	L00757	processed meat	processed meat	0.0	0.0	0.4269773809523811	0.13119999999999998	0.002	0.0	0.43882261904761893	0.001	0.0	0.0	0.0	Source_2
48	L00878	processed meat	eel	0.0	0.421	0.008	0.18511105866415623	0.0	0.0	0.26688894133584373	0.119	0.0	0.0	0.0	Source_2
49	L01015	fresh meat	fresh meat	0.0	0.0	0.0	0.998	0.002	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
50	L01090	processed meat	processed meat	0.0	0.0	0.0	0.0009833333333333332	0.0	0.0	0.9990166666666668	0.0	0.0	0.0	0.0	Source_2
51	L01116	processed meat	processed meat	0.0	0.0	0.0	0.0009833333333333332	0.0	0.0	0.9990166666666668	0.0	0.0	0.0	0.0	Source_2
52	L01748	herring	herring	0.0	0.003	0.0	0.145	0.817	0.001	0.008	0.001	0.0	0.02	0.005	Source_2
53	L01826	herring	herring	0.0	0.003	0.0	0.145	0.817	0.001	0.008	0.001	0.0	0.02	0.005	Source_2
54	L00356	spices/herbs/vegetables	spices/herbs/vegetables	0.0	0.0	0.006583333333333333	0.3292670634920635	0.0055	0.0005	0.011149603174603173	0.012	0.007	0.624	0.004	Source_2
55	L00381	fresh meat	fresh meat	0.0	0.0	0.0	0.995	0.002	0.0	0.003	0.0	0.0	0.0	0.0	Source_2
56	L00890	fresh meat	processed meat	0.0	0.0	0.003	0.15521666666666667	0.0055	0.0025	0.7107833333333334	0.005	0.117	0.001	0.0	Source_2
57	L00957	fresh meat	fresh meat	0.0	0.0	0.0	0.897	0.005	0.02603214285714285	0.012	0.05996785714285714	0.0	0.0	0.0	Source_2
58	L00982	fresh meat	fresh meat	0.0	0.0	0.0	0.998	0.002	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
59	L01077	fresh meat	fresh meat	0.0	0.001	0.001	0.8453714285714288	0.0	0.003	0.1411285714285715	0.003	0.0	0.0015	0.004	Source_2
60	L01126	fresh meat	fresh meat	0.0	0.0	0.0	0.9206666666666667	0.0	0.002	0.07333333333333336	0.002	0.0	0.001	0.001	Source_2
61	L01127	fresh meat	fresh meat	0.0	0.0	0.0	0.708945634920635	0.0	0.0	0.28705436507936527	0.003	0.0	0.001	0.0	Source_2
62	L00435	processed meat	processed meat	0.0	0.0	0.00825	0.016833333333333336	0.02025	0.0015	0.9331666666666667	0.002	0.017	0.001	0.0	Source_2
63	L00807	processed meat	fresh meat	0.0	0.0	0.0174	0.8821909951159949	0.0115	0.0005	0.03040900488400488	0.024	0.021	0.003	0.01	Source_2
64	L01135	fresh meat	fresh meat	0.012083333333333333	0.0	0.07495	0.7419	0.0095	0.0035	0.10456666666666667	0.021	0.00425	0.02825	0.0	Source_2
65	L01396	processed meat	processed meat	0.0	0.0	0.002	0.06955	0.01005	0.0069500000000000004	0.69245	0.001	0.216	0.001	0.001	Source_2
66	L00386	salmon	salmon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.001	Source_2
67	L00474	fresh meat	fresh meat	0.002	0.0	0.001	0.94075	0.00625	0.0	0.027	0.014	0.0	0.009	0.0	Source_2
68	L00958	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
69	L01062	fresh meat	fresh meat	0.0	0.0	0.0	0.93	0.019	0.00014285714285714284	0.002	0.012857142857142857	0.0	0.001	0.035	Source_2
70	L01413	salmon	salmon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.0	0.0	0.001	Source_2
71	L00801	fresh meat	fresh meat	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2
72	L00827	fresh meat	fresh meat	0.0	0.0	0.0	0.899	0.0	0.0	0.051	0.0	0.0	0.05	0.0	Source_2
73	L01240	fresh meat	fresh meat	0.0	0.0	0.00025	0.9100499999999999	0.0006	0.0	0.08809999999999998	0.001	0.0	0.0	0.0	Source_2
74	L01280	dairy	dairy	0.991	0.0	0.002	0.001	0.0	0.0	0.006	0.0	0.0	0.0	0.0	Source_2
75	L00701	processed meat	processed meat	0.001	0.0	0.11483333333333334	0.13974841269841273	0.001	0.002	0.688418253968254	0.028	0.004200000000000001	0.013800000000000002	0.007	Source_2
76	L01617	fresh meat	processed meat	0.0	0.0	0.001	0.4658760156510157	0.001	0.0	0.5321239843489843	0.0	0.0	0.0	0.0	Source_2
77	L01155	trout	trout	0.0	0.0	0.0	0.031	0.0	0.001	0.025	0.001	0.0	0.0	0.942	Source_2
78	L01792	herring	fresh meat	0.0	0.0	0.004266666666666668	0.985	0.0	0.0	0.003733333333333333	0.007	0.0	0.0	0.0	Source_2
79	L01803	fresh meat	fresh meat	0.0	0.0	0.0	0.871	0.026	0.00014285714285714284	0.0	0.025857142857142856	0.0	0.001	0.076	Source_2
80	L01630	trout	trout	0.0	0.0	0.0	0.0	0.0	0.09561248025607015	0.0	0.0	0.0	0.0	0.9043875197439317	Source_2
81	L01645	trout	trout	0.0	0.0	0.0	0.0	0.0	0.09561248025607015	0.0	0.0	0.0	0.0	0.9043875197439317	Source_2
82	L01687	trout	trout	0.0	0.0	0.0	0.0	0.0	0.09561248025607015	0.0	0.0	0.0	0.0	0.9043875197439317	Source_2
