	samples	labels	predictions	dairy, cattle	eel, aquatic products	feces, small ruminants	fresh meat, cattle	fresh meat, chicken	fresh meat, game	fresh meat, small ruminants	fresh meat, swine	fresh meat, turkey	herring, aquatic products	mackerel, aquatic products	processed meat, cattle	processed meat, chicken	processed meat, swine	processed meat, turkey	salmon, aquatic products	shrimp, aquatic products	spices/herbs/vegetables, plants	trout, aquatic products	experiment
11	L00846	salmon, aquatic products	salmon, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5208333333333334	0.0	0.0	0.4791666666666667	Source_2n1_up
12	L00858	processed meat, chicken	processed meat, chicken	0.0	0.0	0.0	0.003472222222222222	0.1572021631917467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.839325614586032	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
13	L00918	fresh meat, chicken	processed meat, cattle	0.003472222222222222	0.0	0.0	0.14930555555555555	0.056018518518518516	0.0	0.003472222222222222	0.0	0.003935185185185185	0.0	0.0	0.7673611111111112	0.010555555555555556	0.0	0.00587962962962963	0.0	0.0	0.0	0.0	Source_2n1_up
14	L01018	trout, aquatic products	trout, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010416666666666666	0.003472222222222222	0.0	0.0	0.003472222222222222	0.0	0.0	0.9826388888888888	Source_2n1_up
15	L01019	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.6354166666666666	0.07026427469135803	0.0	0.0	0.0	0.0	0.006944444444444444	0.003472222222222222	0.034722222222222224	0.04779128086419753	0.0	0.0	0.020833333333333332	0.0	0.006944444444444444	0.1736111111111111	Source_2n1_up
16	L01021	eel, aquatic products	eel, aquatic products	0.0	0.8430982287873567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1569017712126437	Source_2n1_up
17	L01082	fresh meat, chicken	fresh meat, chicken	0.0	0.0	0.0	0.0	0.9176346994055328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08236530059446728	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
18	L01102	trout, aquatic products	trout, aquatic products	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010416666666666666	0.003472222222222222	0.0	0.0	0.003472222222222222	0.0	0.0	0.9826388888888888	Source_2n1_up
19	L01108	fresh meat, cattle	fresh meat, cattle	0.0	0.0	0.0	0.6736111111111112	0.2048611111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.12152777777777778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Source_2n1_up
20	L01419	processed meat, cattle	feces, small ruminants	0.0	0.0	0.5451388888888888	0.1736111111111111	0.05812665343915345	0.0	0.017361111111111112	0.0	0.0	0.0	0.0	0.027777777777777776	0.10506779100529101	0.0	0.003472222222222222	0.03125	0.0	0.0	0.03819444444444445	Source_2n1_up
